job.id n m mu max.k alpha evals max.evals time.passed PD repl type
1 100 4950 2 1 0.05 20000 20000 8.635 18 1 euclidean
2 100 4950 2 1 0.05 20000 20000 9.049 28 2 euclidean
3 100 4950 2 1 0.05 20000 20000 9.026 24 3 euclidean
4 100 4950 2 1 0.05 20000 20000 9.208 26 4 euclidean
5 100 4950 2 1 0.05 20000 20000 9.213 18 5 euclidean
6 100 4950 2 1 0.05 20000 20000 8.22 16 6 euclidean
7 100 4950 2 1 0.05 20000 20000 12.664 28 7 euclidean
8 100 4950 2 1 0.05 20000 20000 9.059 24 8 euclidean
9 100 4950 2 1 0.05 20000 20000 13.718 28 9 euclidean
10 100 4950 2 1 0.05 20000 20000 8.818 22 10 euclidean
11 100 4950 2 1 0.1 20000 20000 9.346 26 1 euclidean
12 100 4950 2 1 0.1 20000 20000 12.508 26 2 euclidean
13 100 4950 2 1 0.1 20000 20000 9.398 44 3 euclidean
14 100 4950 2 1 0.1 20000 20000 12.335 32 4 euclidean
15 100 4950 2 1 0.1 20000 20000 8.832 34 5 euclidean
16 100 4950 2 1 0.1 20000 20000 9.044 32 6 euclidean
17 100 4950 2 1 0.1 20000 20000 12.242 32 7 euclidean
18 100 4950 2 1 0.1 20000 20000 13.476 36 8 euclidean
19 100 4950 2 1 0.1 20000 20000 11.737 32 9 euclidean
20 100 4950 2 1 0.1 20000 20000 8.492 46 10 euclidean
21 100 4950 2 1 0.5 20000 20000 9.175 64 1 euclidean
22 100 4950 2 1 0.5 20000 20000 9.57 74 2 euclidean
23 100 4950 2 1 0.5 20000 20000 14.837 56 3 euclidean
24 100 4950 2 1 0.5 20000 20000 9.155 70 4 euclidean
25 100 4950 2 1 0.5 20000 20000 10.143 68 5 euclidean
26 100 4950 2 1 0.5 20000 20000 12.586 66 6 euclidean
27 100 4950 2 1 0.5 20000 20000 12.636 46 7 euclidean
28 100 4950 2 1 0.5 20000 20000 13.259 56 8 euclidean
29 100 4950 2 1 0.5 20000 20000 12.909 72 9 euclidean
30 100 4950 2 1 0.5 20000 20000 8.802 60 10 euclidean
31 100 4950 2 1 1 20000 20000 8.498 86 1 euclidean
32 100 4950 2 1 1 20000 20000 9.814 100 2 euclidean
33 100 4950 2 1 1 20000 20000 13.225 88 3 euclidean
34 100 4950 2 1 1 20000 20000 9.261 86 4 euclidean
35 100 4950 2 1 1 20000 20000 13.988 94 5 euclidean
36 100 4950 2 1 1 20000 20000 13.398 98 6 euclidean
37 100 4950 2 1 1 20000 20000 9.251 94 7 euclidean
38 100 4950 2 1 1 20000 20000 9.288 102 8 euclidean
39 100 4950 2 1 1 20000 20000 16.035 88 9 euclidean
40 100 4950 2 1 1 20000 20000 9.3 92 10 euclidean
41 100 4950 2 2 0.05 20000 20000 12.534 44 1 euclidean
42 100 4950 2 2 0.05 20000 20000 8.909 34 2 euclidean
43 100 4950 2 2 0.05 20000 20000 12.308 26 3 euclidean
44 100 4950 2 2 0.05 20000 20000 12.825 52 4 euclidean
45 100 4950 2 2 0.05 20000 20000 8.669 18 5 euclidean
46 100 4950 2 2 0.05 20000 20000 9.862 24 6 euclidean
47 100 4950 2 2 0.05 20000 20000 9.188 24 7 euclidean
48 100 4950 2 2 0.05 20000 20000 14.135 24 8 euclidean
49 100 4950 2 2 0.05 20000 20000 9.823 28 9 euclidean
50 100 4950 2 2 0.05 20000 20000 8.878 42 10 euclidean
51 100 4950 2 2 0.1 20000 20000 10.178 36 1 euclidean
52 100 4950 2 2 0.1 20000 20000 8.808 38 2 euclidean
53 100 4950 2 2 0.1 20000 20000 10.492 44 3 euclidean
54 100 4950 2 2 0.1 20000 20000 13.719 50 4 euclidean
55 100 4950 2 2 0.1 20000 20000 11.904 44 5 euclidean
56 100 4950 2 2 0.1 20000 20000 8.615 34 6 euclidean
57 100 4950 2 2 0.1 20000 20000 12.847 54 7 euclidean
58 100 4950 2 2 0.1 20000 20000 9.241 60 8 euclidean
